f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Filename
0.0466,0.0383,0.0573,0.0509,0.0468,0.0475,0.0357,0.0451,0.0292,0,0,0.0466,0.0341,0,processed.pcap.TCP_111-93-5-203_22_222-163-192-149_35826.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_184-154-150-89_37254.pcap
0.0273,0.0222,0.0339,0.0291,0.0274,0.0267,0.0244,0.0364,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_221-179-193-241_53075.pcap
0.0977,0.0645,0.1406,0.1161,0.1473,0.0823,0.1062,0.2954,0.0439,0,0,0.0977,0.1062,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-172_37023.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_95-0-212-205_45839_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_185-13-225-147_35983.pcap
0.0261,0.0222,0.0313,0.0415,0.0582,0.0258,0.0443,0.1227,0.0185,0,0,0.0239,0.022,0.1071,processed.pcap.TCP_60-173-10-142_4387_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_95-0-212-205_33045_111-93-5-203_22.pcap
0.0307,0.0242,0.0391,0.0345,0.0324,0.0317,0.0248,0.0358,0.0191,0,0,0.0307,0.0261,0,processed.pcap.TCP_95-0-212-205_41299_111-93-5-203_22.pcap
0.0307,0.0242,0.0391,0.0344,0.032,0.0319,0.0245,0.0348,0.0191,0,0,0.0295,0.0261,0,processed.pcap.TCP_111-93-5-203_22_184-154-150-89_37706.pcap
0.0295,0.0222,0.0391,0.0379,0.0302,0.0383,0.0312,0.0348,0.0268,0,0,0.0295,0.0261,0,processed.pcap.TCP_95-0-212-205_50377_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_202-85-222-100_13112.pcap
0.0295,0.0242,0.0365,0.0337,0.0321,0.0307,0.0245,0.0348,0.0191,0,0,0.0295,0.0261,0,processed.pcap.TCP_95-0-212-205_48926_111-93-5-203_22.pcap
